datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_upper,kc_lower,kc_position,kc_width
2024-01-26 08:00:00,2024.01.26,08:00:00,2022.91,2023.45,2021.57,2021.81,1680,0,20,2022.0439999999999,2023.2948141350291,2020.7931858649706,0.0012371779595589999,0.4064609227515446,2021.7474625930363,2023.4169625930363,2020.0779625930363,0.5187293821394602,0.16515415806272038
2024-01-26 08:15:00,2024.01.26,08:15:00,2021.79,2022.77,2021.71,2022.56,952,0,8,2022.0495000000003,2023.308348283309,2020.7906517166916,0.0012451211340856689,0.7027647043605092,2021.8045296476678,2023.4845296476676,2020.124529647668,0.724842366765548,0.16618817253244592
2024-01-26 08:30:00,2024.01.26,08:30:00,2022.57,2022.6,2021.47,2021.64,2142,0,19,2022.0585000000003,2023.3028516385612,2020.8141483614395,0.001230777090337227,0.331840137855147,2021.8139395224932,2023.502939522493,2020.1249395224934,0.44850813425306574,0.1670776887015384
2024-01-26 08:45:00,2024.01.26,08:45:00,2021.63,2022.36,2021.45,2021.54,1986,0,19,2022.0445,2023.3054595554138,2020.7835404445862,0.0012472124677907134,0.2999539327673197,2021.811024647335,2023.5180246473349,2020.104024647335,0.4206137529774328,0.16885851142271147
2024-01-26 09:00:00,2024.01.26,09:00:00,2021.64,2022.47,2020.32,2020.35,2956,0,19,2021.923,2023.3361680722373,2020.5098319277627,0.0013978455878263815,-0.0565509265680285,2021.738228649176,2023.559228649176,2019.9172286491762,0.11882793817235987,0.18014201583521655
2024-01-26 09:15:00,2024.01.26,09:15:00,2020.36,2021.93,2019.69,2021.76,4396,0,19,2021.8419999999999,2023.087609890934,2020.5963901090659,0.0012321535421007377,0.46708439753220315,2021.6799846508418,2023.6899846508418,2019.6699846508418,0.5199043157109957,0.19884452685493959
2024-01-26 09:30:00,2024.01.26,09:30:00,2021.65,2022.91,2020.36,2020.53,4913,0,16,2021.7175000000002,2022.9650075151658,2020.4699924848346,0.0012341066594769843,0.024050963395353984,2021.6406210333014,2023.9236210333013,2019.3576210333015,0.25676280479600067,0.22585616615014537
2024-01-26 09:45:00,2024.01.26,09:45:00,2020.53,2021.75,2020.07,2021.34,4736,0,16,2021.691,2022.9469124174857,2020.4350875825144,0.0012424375609187167,0.36026095645155914,2021.5846888713995,2024.0176888713995,2019.1516888713995,0.449714576366707,0.24070225832174028
2024-01-26 10:00:00,2024.01.26,10:00:00,2021.34,2021.89,2020.06,2020.99,5003,0,16,2021.6419999999998,2022.9266882891952,2020.3573117108044,0.001270935496191117,0.2462419462046458,2021.5270994550758,2023.9780994550758,2019.0760994550758,0.3904325877038353,0.24248994739281157
2024-01-26 10:15:00,2024.01.26,10:15:00,2020.99,2022.29,2020.84,2021.63,4489,0,16,2021.6100000000001,2022.861990415457,2020.3580095845432,0.0012386072639697372,0.5079872815929994,2021.5327725228465,2024.0647725228466,2019.0007725228463,0.5191997387744138,0.2505029880708043
2024-01-26 10:30:00,2024.01.26,10:30:00,2021.64,2022.22,2020.48,2020.79,4776,0,16,2021.547,2022.8304967862825,2020.2635032137175,0.0012698164190914308,0.20510249496119992,2021.497587838131,2024.008587838131,2018.986587838131,0.3591023818934518,0.24842968056027506
2024-01-26 10:45:00,2024.01.26,10:45:00,2020.89,2021.73,2020.4,2020.63,3505,0,16,2021.489,2022.8270119582419,2020.1509880417582,0.0013237885125685573,0.1790013741249925,2021.4425794725948,2023.9940794725949,2018.8910794725948,0.3407643596718158,0.25244348030560754
2024-01-26 11:00:00,2024.01.26,11:00:00,2020.63,2020.94,2018.17,2018.41,6772,0,16,2021.3335,2023.2280740947244,2019.4389259052755,0.0018745784352007977,-0.2715454381384422,2021.226460792665,2024.023960792665,2018.4289607926648,-0.003388881620152984,0.27681212909740266
2024-01-26 11:15:00,2024.01.26,11:15:00,2018.4,2019.92,2018.3,2019.78,4485,0,16,2021.226,2023.2146417476265,2019.2373582523737,0.001967757932686784,0.13643527002134428,2021.0461629393951,2023.950162939395,2018.1421629393951,0.2819967390848578,0.28737591978368665
2024-01-26 11:30:00,2024.01.26,11:30:00,2019.78,2021.15,2019.53,2020.56,4538,0,16,2021.2,2023.209089346048,2019.1909106539522,0.001988016372499365,0.3407238579859418,2020.9858934531035,2023.8103934531036,2018.1613934531033,0.42460728392573893,0.2795170425632377
2024-01-26 11:45:00,2024.01.26,11:45:00,2020.57,2022.51,2020.3,2020.79,5344,0,16,2021.1825000000001,2023.1994568662726,2019.1655431337276,0.001995818651974766,0.4026999519514942,2021.006284552808,2023.8262845528081,2018.1862845528078,0.4616516750340413,0.2790688996421553
2024-01-26 12:00:00,2024.01.26,12:00:00,2020.8,2022.1,2020.7,2021.93,4458,0,16,2021.2,2023.2364282458275,2019.1635717541726,0.00201506851952052,0.6792353846730814,2021.0606066588898,2023.7081066588898,2018.4131066588898,0.6641913769802156,0.2619911536820999
2024-01-26 12:15:00,2024.01.26,12:15:00,2022.03,2023.05,2021.78,2022.6,3997,0,16,2021.2599999999998,2023.385238810205,2019.1347611897945,0.0021028851411547715,0.81525868847434,2021.1954695167733,2023.7814695167733,2018.6094695167733,0.7715642852332949,0.2558881650984774
