datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_atr,kc_upper,kc_lower,kc_position,kc_width_pct
2024-01-03 16:00:00,2024.01.03,16:00:00,2041.01,2042.43,2036.32,2037.4,9519,0,16,2049.026,2060.964276927606,2037.0877230723936,0.01165263586465593,0.01307881068181525,2048.4239772523565,3.747919428971238,2054.045856395813,2042.8020981088996,-0.48045306302848173,0.5488980021604389
2024-01-03 16:15:00,2024.01.03,16:15:00,2037.37,2037.69,2034.56,2037.07,10906,0,16,2047.9395,2060.0755413232746,2035.803458676725,0.011851952973488478,0.05218099088233373,2047.2826460854656,3.6861274860741253,2052.8118373145767,2041.7534548563544,-0.423520788329419,0.5401492793076994
2024-01-03 16:30:00,2024.01.03,16:30:00,2037.11,2037.28,2031.66,2034.95,13066,0,16,2046.9305,2059.838479663768,2034.0225203362318,0.012612035106974135,0.03592660075114861,2046.077632172564,3.879514737466702,2051.896904278764,2040.258360066364,-0.456101722817566,0.5688222201052003
2024-01-03 16:45:00,2024.01.03,16:45:00,2034.95,2039.76,2034.22,2037.75,10890,0,16,2045.9780000000003,2058.6414049133823,2033.3145950866183,0.012378828035669991,0.17512686926304544,2045.2362703783515,4.0455632637200285,2051.3046152739316,2039.1679254827714,-0.11682967161310276,0.593412603078621
2024-01-03 17:00:00,2024.01.03,17:00:00,2037.59,2048.8,2035.34,2040.72,23241,0,16,2045.2289999999998,2057.2599465961857,2033.198053403814,0.011764889502530929,0.31260826137200026,2044.8918636756514,4.987006937348053,2052.3723740816736,2037.4113532696292,0.22115113480138923,0.7316289471244813
2024-01-03 17:15:00,2024.01.03,17:15:00,2040.72,2040.87,2035.37,2037.37,13773,0,16,2044.4509999999998,2056.4014910359488,2032.500508964051,0.011690660266202378,0.203736023118242,2044.2231147541609,5.038306243613247,2051.7805741195807,2036.665655388741,0.04659929860037999,0.739396723466627
2024-01-03 17:30:00,2024.01.03,17:30:00,2037.36,2039.01,2032.03,2034.02,11933,0,16,2043.4145,2055.207047604327,2031.6219523956734,0.011542002471184117,0.10167640126577775,2043.346627634717,5.232475619251925,2051.1953410635947,2035.497914205839,-0.0941500934663528,0.7682214385684716
2024-01-03 17:45:00,2024.01.03,17:45:00,2034.04,2035.28,2031.75,2032.56,11565,0,16,2042.2990000000002,2053.7622088003463,2030.8357911996543,0.011225788976389865,0.07520620231106685,2042.3799646853788,5.06222805732673,2049.9733067713687,2034.7866225993887,-0.1466167712565557,0.7435778079775405
2024-01-03 18:00:00,2024.01.03,18:00:00,2032.58,2036.13,2031.2,2033.62,11551,0,16,2041.33,2052.2758686270367,2030.3841313729633,0.010724251960277566,0.14781232706574957,2041.5485394772477,5.049005251594064,2049.1220473546387,2033.9750315998565,-0.023439046053973553,0.7419375763977992
2024-01-03 18:15:00,2024.01.03,18:15:00,2033.54,2035.74,2033.33,2034.12,8906,0,16,2040.416,2050.533227683529,2030.2987723164713,0.009916828414920063,0.18884756788412052,2040.8674087333827,4.785104726434667,2048.0450658230347,2033.6897516437307,0.02997136467340358,0.7033927886679006
2024-01-03 18:30:00,2024.01.03,18:30:00,2034.12,2034.75,2032.49,2032.87,9304,0,16,2039.6080000000002,2049.4210048405357,2029.7949951594646,0.009622441999183705,0.15668008375136194,2040.1533698063938,4.532594253791199,2046.9522611870807,2033.354478425707,-0.035629222367286335,0.6665078695855188
2024-01-03 18:45:00,2024.01.03,18:45:00,2032.86,2033.17,2031.29,2032.37,6863,0,16,2038.8414999999998,2048.3979957489855,2029.285004251014,0.009374437148729564,0.1614083148267654,2039.4032076026103,4.267334828412091,2045.8042098452286,2033.002205359992,-0.04938331030279555,0.6277328797715126
2024-01-03 19:00:00,2024.01.03,19:00:00,2032.36,2033.41,2030.87,2033.11,7049,0,18,2038.2235,2047.5820004675106,2028.8649995324895,0.00918299731850856,0.22679918018103232,2038.7422671960126,4.094601345570901,2044.884169214369,2032.6003651776562,0.04148835497705659,0.6025187310020976
2024-01-03 19:15:00,2024.01.03,19:15:00,2033.21,2033.86,2031.93,2032.69,5775,0,18,2037.682,2047.0051960185551,2028.358803981445,0.009150786058428262,0.23228064764138615,2038.178876669408,3.8781412110137943,2043.9960884859288,2032.3616648528873,0.028221006684016142,0.570824463260718
2024-01-03 19:30:00,2024.01.03,19:30:00,2032.74,2032.92,2030.49,2032.05,5010,0,18,2036.9765,2045.7457446083122,2028.2072553916878,0.008610059672570785,0.21910351346966067,2037.5732693675598,3.7333270899124216,2043.1732600024284,2031.9732787326911,0.0068501246083434225,0.5496725657975277
2024-01-03 19:45:00,2024.01.03,19:45:00,2032.15,2033.48,2030.92,2033.33,5058,0,18,2036.3575,2044.2803527059652,2028.434647294035,0.007781396641763708,0.30893876786825025,2037.0974024436653,3.615994380921174,2042.521394015047,2031.6734108722835,0.15270941205522592,0.5325215735757383
2024-01-03 20:00:00,2024.01.03,20:00:00,2033.23,2035.14,2032.79,2032.99,4947,0,18,2035.7374999999997,2042.6066189391672,2028.8683810608322,0.006748531123651741,0.3000107419647691,2036.768126020459,3.4893949428290703,2042.0022184347026,2031.5340336062154,0.13908489558022055,0.5139605581387647
2024-01-03 20:15:00,2024.01.03,20:15:00,2033.01,2035.3,2032.86,2034.97,4125,0,18,2035.3434999999997,2041.390328176857,2029.2966718231423,0.005941825718221411,0.4691160399241072,2036.5403679867645,3.3844554485461686,2041.6170511595838,2031.4636848139453,0.34533523825434786,0.4985595427050453
2024-01-03 20:30:00,2024.01.03,20:30:00,2034.98,2035.46,2033.89,2035.26,3076,0,18,2035.011,2040.2549980931005,2029.7670019068994,0.0051537786214429036,0.5237414273975068,2036.3812853213585,3.203009903691546,2041.1858001768958,2031.5767704658213,0.38330920445940214,0.47186790510884796
2024-01-03 20:45:00,2024.01.03,20:45:00,2035.16,2036.38,2034.92,2035.83,3859,0,18,2034.7525,2039.246134942944,2030.258865057056,0.004416886027115364,0.6198918040384855,2036.317353385991,3.0287089133223946,2040.8604167559747,2031.7742900160074,0.4463629112889877,0.446203865269767
2024-01-03 21:00:00,2024.01.03,21:00:00,2035.82,2037.84,2030.49,2031.24,11546,0,18,2034.4445,2039.0138521423123,2029.8751478576878,0.004491989968084413,0.14934853999034733,2036.0195102063728,3.460838021990146,2041.2107672393581,2030.8282531733876,0.03965771912238227,0.5099417767818036
2024-01-03 21:15:00,2024.01.03,21:15:00,2031.28,2039.27,2031.15,2038.83,9016,0,18,2034.5325,2039.361151468107,2029.703848531893,0.004746693865157676,0.9450000200247121,2036.0573346311626,3.9267542197911207,2041.9474659608493,2030.1672033014759,0.7353653266492469,0.5785820693260314
2024-01-03 21:30:00,2024.01.03,21:30:00,2038.84,2042.43,2036.21,2038.0,9935,0,18,2034.685,2039.7439228102876,2029.6260771897123,0.004972684037369559,0.8276389188286083,2036.3261599043851,4.156078797812011,2042.5602781011032,2030.092041707667,0.6342483445771093,0.6122907341141088
2024-01-03 21:45:00,2024.01.03,21:45:00,2037.99,2038.54,2034.68,2036.6,6920,0,18,2034.6274999999998,2039.5705835518377,2029.684416448162,0.004858956788736852,0.6995212076950129,2036.3528748341262,4.1264709180308,2042.5425812111723,2030.16316845708,0.5199625919890302,0.607920803269457
2024-01-03 22:00:00,2024.01.03,22:00:00,2036.62,2039.53,2036.35,2039.38,5823,0,18,2034.5605,2039.1983506875977,2029.9226493124024,0.004559068838304509,1.0195833506335383,2036.5497438975426,4.031823826227726,2042.5974796368841,2030.502008158201,0.7339930367696299,0.5939197662579452
2024-01-03 22:15:00,2024.01.03,22:15:00,2039.39,2042.11,2039.13,2041.08,5849,0,18,2034.7459999999999,2040.065223251608,2029.4267767483918,0.005228390424758704,1.095387681658713,2036.951990510475,3.926641443604933,2042.8419526758826,2031.0620283450676,0.8504275047613367,0.5783113389856016
2024-01-03 22:30:00,2024.01.03,22:30:00,2041.09,2041.97,2040.59,2041.4,4547,0,18,2035.1150000000002,2041.1564584332298,2029.0735415667707,0.005937215767393524,1.0201558588428565,2037.3679914142394,3.6719772992444506,2042.8759573631062,2031.8600254653727,0.8660161140420841,0.5406942655502686
2024-01-03 22:45:00,2024.01.03,22:45:00,2041.4,2042.38,2040.59,2040.84,4251,0,18,2035.5289999999998,2041.9370539948122,2029.1209460051873,0.006296205060023673,0.914400378359763,2037.73961127955,3.4837795693200246,2042.96528063353,2032.51394192557,0.7966499131913668,0.5128888229933072
2024-01-03 23:00:00,2024.01.03,23:00:00,2040.85,2041.68,2040.2,2040.54,919,0,5,2035.875,2042.5740641137718,2029.1759358862282,0.006581017119196201,0.8481829641255234,2038.0317117926086,3.2834016123880243,2042.9568142111907,2033.1066093740264,0.7546432535014663,0.48331950774702265
2024-01-03 23:15:00,2024.01.03,23:15:00,2040.57,2041.8,2040.27,2041.38,562,0,29,2036.238,2043.2945844429453,2029.1814155570548,0.006931001624510713,0.8643405702556806,2038.328691621884,3.1080614511492195,2042.9907837986077,2033.6665994451603,0.8272466805086235,0.4574426289426484
2024-01-03 23:30:00,2024.01.03,23:30:00,2041.37,2041.49,2040.5,2041.05,581,0,5,2036.6469999999997,2043.8225587935995,2029.4714412064,0.007046443289975876,0.806805374093479,2038.5843717848793,2.896255306034299,2042.9287547439308,2034.2399888258278,0.783771969271672,0.426215664083381
2024-01-03 23:45:00,2024.01.03,23:45:00,2041.05,2041.49,2040.76,2041.27,316,0,8,2037.092,2044.2552690861367,2029.9287309138635,0.007032838071266837,0.7916266267370707,2038.8309395513988,2.679629775430871,2042.850384214545,2034.8114948882526,0.8034076412302118,0.3942891571020256
